"site","LID","sen_slope","sen_signif"
"Queenstown","7688",0.494587321675091,0.117850895021365
"Queenstown","7689",0.306378314377914,0.465512169874187
"Queenstown","7748",0.0925442512743254,0.916965236628864
"Queenstown","7901",-0.11763146913612,0.754454177494089
"Queenstown","8138",0.384620626241701,0.386476230771233
"Rotorua","11084",0.110663623365211,0.916965236628864
"Rotorua","11132",0.234482729516733,0.754454177494089
"Rotorua","11133",0.0315160282166179,0.465512169874187
"Rotorua","11138",-0.0423176831815819,0.916965236628864
"Rotorua","13957",0.220189010267926,0.251452186508022
"Rotorua","14071",0.15856594716383,0.754454177494089
"Rotorua","14157",0.598481255500886,0.0476039547278715
"Rotorua","14179",0.109393788236338,0.348082623632924
"Rotorua","14205",0.173708395011842,0.465512169874187
"Rotorua","14208",0.228906939194564,0.465512169874187
"Rotorua","14290",-0.084419920335062,0.916965236628864
"Rotorua","14586",-0.053485060142061,0.916965236628864
"Rotorua","15312",0.215380811008746,0.465512169874187
"Rotorua","15325",0.504893779905132,0.465512169874187
"Rotorua","15621",0.276253039877177,0.348082623632924
"Rotorua","15706",0.23377318436283,0.916965236628864
"Rotorua","38233",0.320121043564249,0.348082623632924
"Rotorua","39876",0.221263989224075,0.348082623632924
"Rotorua","39879",0.481677492579998,0.465512169874187
"Rotorua","39884",-0.0252386504805205,0.916965236628864
"Rotorua","39885",-0.0411370709895991,0.754454177494089
"Rotorua","40071",0.204527209088127,0.754454177494089
"Rotorua","40102",0.281816562879611,0.754454177494089
"Rotorua","40107",0.124699990891509,0.754454177494089
"Rotorua","40110",0.185769299559398,0.754454177494089
"Rotorua","40120",0.292796360796088,0.348082623632924
"Rotorua","40124",0.414918753503088,0.175308080808274
"Rotorua","40135",0.612981731266734,0.028567681801513
"Rotorua","40188",0.160103933339878,0.465512169874187
"Rotorua","40190",0.378733539788265,0.251452186508022
"Rotorua","40191",0.715642399110414,0.117850895021365
"Rotorua","40202",0.176241991049122,0.348082623632924
"Rotorua","54730",-0.209333592485268,0.602167527748196
"Rotorua","54731",0.0409436701197154,0.916965236628864
"Rotorua","54732",0.225655433386987,0.117850895021365
"Rotorua","54733",0.361337264142727,0.175308080808274
"Taupo","13148",0.161468988789501,0.348082623632924
"Taupo","13277",0.00923700202668443,1
"Taupo","13278",-0.000726120486544229,1
"Taupo","13857",0.275307796149001,0.348082623632924
"Taupo","13873",0.324577919622119,0.117850895021365
"Taupo","13876",0.123798555021027,0.916965236628864
"Taupo","13877",0.161286673843778,0.465512169874187
"Taupo","13909",-0.713136001555929,0.107762290391921
"Taupo","13915",-0.316282739672957,0.754454177494089
"Taupo","13970",0.634103586460311,0.251452186508022
"Taupo","21370",0.422107383773557,0.0763327403763572
"Taupo","40072",0.408204245100825,0.117850895021365
"Taupo","54734",0.56050936402403,0.117850895021365
"Tauranga","15719",0.186850768944395,0.251452186508022
"Timaru","12469",0.517823488296277,0.028567681801513
"Timaru","12690",0.42697178783097,0.028567681801513
"Wellington","1",0.28931974929052,0.175308080808274
"Wellington","1708",0.254807611073731,0.0476039547278715
"Wellington","195",0.18450380950041,0.028567681801513
"Wellington","229",0.0255068036815551,0.916965236628864
"Wellington","3",0.175801252045441,0.251452186508022
"Wellington","4",0.15516388207684,0.754454177494089
"Wellington","4278",0.403596550209611,0.0476039547278715
"Wellington","515",0.439267916158663,0.117850895021365
"Wellington","6",0.24489251349759,0.117850895021365
"Wellington","7",0.425484931067658,0.0763327403763572
"Whangarei","17761",0.0341196752989118,0.754454177494089
"Whangarei","21760",-0.187814792264994,0.754454177494089
"Whangarei","21912",-0.199654385838154,0.602167527748196
"Whangarei","21918",0.304676073929513,0.465512169874187
