"district","LID","sen_slope","sen_signif","n_lakes"
"Hokitika (West Coast)","48673",-0.230316236359816,0.754454177494089,39
"Invercargill (Southland)","26031",-0.00581624158182334,1,35
"Invercargill (Southland)","26036",-0.00476227217406469,1,35
"Invercargill (Southland)","26051",-0.362830161254164,0.175308080808274,35
"Invercargill (Southland)","26111",0.32736841098032,0.348082623632924,35
"Invercargill (Southland)","28385",-0.591260044271128,0.175308080808274,35
"Invercargill (Southland)","28394",-0.19885228557204,0.465512169874187,35
"Invercargill (Southland)","28532",0.102439079889428,0.602167527748196,35
"Invercargill (Southland)","28543",-0.17289583154727,0.348082623632924,35
"Invercargill (Southland)","28624",0.299405395875595,0.0476039547278715,35
"Invercargill (Southland)","28835",-0.472368594386821,0.117850895021365,35
"Invercargill (Southland)","28867",-0.218469816644466,0.251452186508022,35
"Invercargill (Southland)","28879",-0.0312471998898573,1,35
"Invercargill (Southland)","29031",0.0181046216138612,0.916965236628864,35
"Invercargill (Southland)","29073",-0.0161471718464027,1,35
"Invercargill (Southland)","29104",-0.19852714303577,0.602167527748196,35
"Invercargill (Southland)","29244",-0.00358285296949346,1,35
"Invercargill (Southland)","29250",-0.0220644020981578,0.916965236628864,35
"Invercargill (Southland)","29254",-0.026075438431274,0.916965236628864,35
"Invercargill (Southland)","29541",0.0956225812283808,0.602167527748196,35
"Invercargill (Southland)","29547",-0.132692038374478,0.754454177494089,35
"Invercargill (Southland)","29568",0.0431746115052874,0.754454177494089,35
"Invercargill (Southland)","29579",0.143015533742669,0.754454177494089,35
"Invercargill (Southland)","29596",-0.224862426010938,0.754454177494089,35
"Invercargill (Southland)","29598",-0.323669805719489,0.754454177494089,35
"Invercargill (Southland)","29614",-0.0128320811729262,0.916965236628864,35
"Invercargill (Southland)","29917",0.386141994669035,0.348082623632924,35
"Invercargill (Southland)","29956",0.0025327583574873,1,35
"Invercargill (Southland)","30380",0.192477622273932,0.175308080808274,35
"Invercargill (Southland)","30810",0.183384465931202,0.754454177494089,35
"Invercargill (Southland)","30812",-0.201576677225615,0.348082623632924,35
"Invercargill (Southland)","43639",0.220975695025551,0.348082623632924,35
"Invercargill (Southland)","43649",-0.0659643311984048,0.602167527748196,35
"Invercargill (Southland)","43655",-0.198191893985199,0.710523022916489,35
"Invercargill (Southland)","43661",0.247677145802164,0.754454177494089,35
"Invercargill (Southland)","54742",-0.0655826576724405,0.916965236628864,35
"Kerikeri (Northland)","13467",0.329966246164132,0.602167527748196,18
"Kerikeri (Northland)","23657",0.0914018988869292,0.754454177494089,18
"Kerikeri (Northland)","23691",0.104349651833466,0.754454177494089,18
"Kerikeri (Northland)","23721",0.177346443925153,0.348082623632924,18
"Kerikeri (Northland)","24001",0.112713551138296,1,18
"Kerikeri (Northland)","24039",0.378117038397728,0.348082623632924,18
"Kerikeri (Northland)","24271",0.540513130248634,0.602167527748196,18
"Kerikeri (Northland)","24304",0.148552377089989,0.916965236628864,18
"Kerikeri (Northland)","24415",0.32788102427098,0.348082623632924,18
"Kerikeri (Northland)","24422",0.28219729188424,0.175308080808274,18
"Kerikeri (Northland)","24496",0.141780085567017,1,18
"Kerikeri (Northland)","24596",0.582394252851,0.0476039547278715,18
"Kerikeri (Northland)","24619",0.92882335472617,0.117850895021365,18
"Kerikeri (Northland)","24620",0.539068811740444,0.0763327403763572,18
"Kerikeri (Northland)","24621",0.531523330689114,0.0763327403763572,18
"Kerikeri (Northland)","24628",0.426850846253446,0.0763327403763572,18
"Kerikeri (Northland)","24633",0.515469393494791,0.0763327403763572,18
"Kerikeri (Northland)","50403",0.108865191798471,0.916965236628864,18
"Lake Tekapo (Canterbury)","41293",-0.287265969160415,0.348082623632924,42
"Lake Tekapo (Canterbury)","41299",0.0341173164849313,0.916965236628864,42
"Lake Tekapo (Canterbury)","41305",-0.160301866212211,0.465512169874187,42
