rate_C_year,location,lat,long,spatial_extent,method_LSWT,method_LSWT_standard,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,temporal_aggregation,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,comment from Whitney,comment on comparing studies,reviewer 1,reviewer 2,,,,,,
0.05,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,summer,summer,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,,,WW,MA,,,,,,
-0.08,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,winter,winter,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,,,WW,MA,,,,,,
0.19,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,spring,spring,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,,,WW,MA,,,,,,
0.4,Tibetan Plateau,31.67525563,87.80117456,region,representative lake from thermal renalysis data (TRIMS-LST),modelled,Sen's slope,mean,autumn,autumn,298,22,2000,2022,Scopus,"Qiu, Y., Chen, J., & Chen, D. (2025). Changes in lake surface temperature on the Tibetan Plateau from 2000 to 2022 and their driving factors. Science China Earth Sciences, 1-15.",Qiu et al. 2025,Science China Earth Sciences,"this is for a representative lake, not actual water bodies. they provide estimates for all four seasons as well",https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11430-024-1527-4,,,WW,MA,,,,,,
0.045,global,0,-131.2,global,AVHRR (Advanced Very High Resolution Radiometers) and ATSR (Along-Track Scanning Radiometer) instruments.,satellite,linear regression analysis,mean,annual,annual,113,24,1985,2009,,"Schneider, P., & Hook, S. J. (2010). Space observations of inland water bodies show rapid surface warming since 1985. Geophysical Research Letters, 37(22).",Schneider & Hook  2010,Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2009GL040846,,,OR,MS,is this two rows (a day and night estimate) or just a duplicate of the first row?,,,,,
0.045,global,0,-131.2,global,ATSR and AVHRR,satellite,linear regression analysis,mean,annual (night),annual (night),113,24,1985,2009,,"Schneider, P., & Hook, S. J. (2010). Space observations of inland water bodies show rapid surface warming since 1985. Geophysical Research Letters, 37(22).","Schneider and Hook, 2010",Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2009GL040846,,"only ice free period considered (Jul-Sep, Jan-Mar), only nighttime data",OR,MS,is this two rows (a day and night estimate) or just a duplicate of the first row?,,,,,
0.11,California and Nevada,38.11785067,-118.7593739,region,"ATSR, MODIS ",satellite,Weighted Linear Regression Analysis for Mean Summer Nighttime Temperatures Between 1992 and 2008, ,seasonal (night),summer (night),6,16,1992,2008,,"Schneider, P., Hook, S. J., Radocinski, R. G., Corlett, G. K., Hulley, G. C., Schladow, S. G., & Steissberg, T. E. (2009). Satellite observations indicate rapid warming trend for lakes in California and Nevada. Geophysical Research Letters, 36(22).",Schneider et al. 2009,Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2010GL045059,,,OR,,rates are slightly different?,,,,,
0.12,California and Nevada,38.11785,-118.759,region,MODIS,satellite,weighted linear regression,mean,seasonal,summer (night),6,16,1992,2008,google scholar,"Schneider, P., Hook, S. J., Radocinski, R. G., Corlett, G. K., Hulley, G. C., Schladow, S. G., & Steissberg, T. E. (2009). Satellite observations indicate rapid warming trend for lakes in California and Nevada. Geophysical Research Letters, 36(22).","Schneider et al., 2009",Geophysical Research Letters,,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2009GL040846,,,,MA,rates are slightly different?,,,,,
0.032,Tibetan Plateau,34,79,region,modelled (WRF-Lake),modelled,linear regression,mean,"Ice free summer (July, Aug, Sept)",summer,81,38,1980,2018,google scholar,"Shi, Y., Huang, A., Wu, Y., Lazhu, & Wen, L. (2024). Trends of Summer Lake Surface Water Temperature on the Tibetan Plateau and Their Response to Climate Change. Earth and Space Science, 11(12), e2024EA003910.","Shi et al., 2024",Earth and Space Science,"used MODIS to validate model, assumed they took summer mean and performed linear regression but not explicitly stated",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024EA003910,,double-check if they used modelled or satellite or both for water temperature  WW: first sentence of discussion appears to confirm that this is modeled LSWT to calculate summer trends,WW,"MP, MS, OR",,,,,,
0.025,Lake Kasumigaura,36,140.22,point,in situ,in situ,linear regression,mean,"seasonal (monthly reported, seasonal calculated)",winter,1,27,1992,2019,,"Shinohara, R., Tanaka, Y., Kanno, A., & Matsushige, K. (2021). Relative impacts of increases of solar radiation and air temperature on the temperature of surface water in a shallow, eutrophic lake. Hydrology Research, 52(4), 916-926.",Shinohara et al. 2021,Hydrology Research,calculated rates for each season from 1,,,seasonal rates should be calculated from the monthly values in Table 1; did you find an annual rate for water temp reported somewhere else? ,CB,WW,,,,,,
0.056,Lake Kasumigaura,36,140.22,point,in situ,in situ,linear regression,mean,"seasonal (monthly reported, seasonal calculated)",spring,1,27,1992,2019,,"Shinohara, R., Tanaka, Y., Kanno, A., & Matsushige, K. (2021). Relative impacts of increases of solar radiation and air temperature on the temperature of surface water in a shallow, eutrophic lake. Hydrology Research, 52(4), 916-926.",Shinohara et al. 2021,Hydrology Research,,,,seasonal rates should be calculated from the monthly values in Table 1; did you find an annual rate for water temp reported somewhere else? ,CB,WW,,,,,,
0.064,Lake Kasumigaura,36,140.22,point,in situ,in situ,linear regression,mean,"seasonal (monthly reported, seasonal calculated)",summer,1,27,1992,2019,,"Shinohara, R., Tanaka, Y., Kanno, A., & Matsushige, K. (2021). Relative impacts of increases of solar radiation and air temperature on the temperature of surface water in a shallow, eutrophic lake. Hydrology Research, 52(4), 916-926.",Shinohara et al. 2021,Hydrology Research,,,,seasonal rates should be calculated from the monthly values in Table 1; did you find an annual rate for water temp reported somewhere else? ,CB,WW,,,,,,
0.041,Lake Kasumigaura,36,140.22,point,in situ,in situ,linear regression,mean,"seasonal (monthly reported, seasonal calculated)",autumn,1,27,1992,2019,,"Shinohara, R., Tanaka, Y., Kanno, A., & Matsushige, K. (2021). Relative impacts of increases of solar radiation and air temperature on the temperature of surface water in a shallow, eutrophic lake. Hydrology Research, 52(4), 916-926.",Shinohara et al. 2021,Hydrology Research,,,,seasonal rates should be calculated from the monthly values in Table 1; did you find an annual rate for water temp reported somewhere else? ,CB,WW,,,,,,
0.0331,global but mostly US,0,-86.4,global,MOD11L1,satellite,"Linear trend, Mann-Kendal",mean,annual,annual,10,17,2003,2020,Google Scholar,"Sobrino, J. A., García-Monteiro, S., & Julien, Y. (2024). An analysis of the Lake Surface Water Temperature evolution of the world’s largest lakes during the years 2003-2020 using MODIS data. Recent Adv. Remote Sens, 1, 1-9.",Sobrino et al. 2024,,show trends for each of the 10 lakes individual,,,,OR,MS,,,,,,
0.0388,global but mostly US,0,-86.4,global,MOD11L2,satellite,"Sen’s slope, Mann-Kendal",mean,annual,annual,10,17,2003,2020,Google Scholar,"Sobrino, J. A., García-Monteiro, S., & Julien, Y. (2024). An analysis of the Lake Surface Water Temperature evolution of the world’s largest lakes during the years 2003-2020 using MODIS data. Recent Adv. Remote Sens, 1, 1-9.",Sobrino et al. 2024,,show trends for each of the 10 lakes individual,,,,OR,MS,,,,,,
0.05,Poland,54.01719751,18.53307838,region,machine learning reconstruction of in situ observations,modelled and in situ,Sen's slope,mean,annual,annual,13,29,1993,2022,,"Sojka, M., & Ptak, M. (2024). Reconstruction of Surface Water Temperature in Lakes as a Source for Long-Term Analysis of Its Changes. Water, 16(23), 3347.",Sojka and Ptak 2024,Water (MDPI),,https://www.mdpi.com/2073-4441/16/23/3347,,,NA,,"remove?? doesn't show up in top 25 search;they look at monthly rates of change (November having largest, May having smallest); useful reference to World Meteorological Organization (2019) stating that 30-year trends are best practice for climatic analyses, found only warming trends in these lakes",,,,,
-0.028,Tibetan Plateau (China),31.67525563,87.80117456,region,MODIS,satellite,linear regression,mean,annual,annual,56,14,2001,2015,google scholar,"Song, K., Wang, M., Du, J., Yuan, Y., Ma, J., Wang, M., & Mu, G. (2016). Spatiotemporal variations of lake surface temperature across the Tibetan Plateau using MODIS LST product. Remote Sensing, 8(10), 854.",Song et al. 2016,Remote Sensing,rates digitized from Table 2,https://www.mdpi.com/2072-4292/8/10/854,,,WW,MP,,,,,,
-0.0057,Tibetan Plateau (China),31.67525563,87.80117456,region,MODIS,satellite,linear regression,mean,annual,annual (night),56,14,2001,2015,google scholar,"Song, K., Wang, M., Du, J., Yuan, Y., Ma, J., Wang, M., & Mu, G. (2016). Spatiotemporal variations of lake surface temperature across the Tibetan Plateau using MODIS LST product. Remote Sensing, 8(10), 854.",Song et al. 2016,Remote Sensing,rates digitized from Table 2,https://www.mdpi.com/2072-4292/8/10/854,,,WW,MP,,,,,,
0.024,China,34,104,region,remote sensing skin temp (google earth engine + time series modelling to fill gaps),satellite,linear regression,mean,annual,annual,1451,20,2001,2021,,"Song, S., Yang, J., Liu, L., Bai, G., Zhou, J., & McKay, D. (2024). Lake surface water temperature in China from 2001 to 2021 based on GEE and HANTS. Ecological Informatics, 84, 102903.",Song et al. 2024,Ecological Informatics," (726 of lakes were small, 1-5 km2); Fig 8 shows the effect of lake area and elevation LSWT change; they found nighttime temps increased more than daytime temps, looks like they use skin temperature without correcting for bulk temperature, also noted an abrupt change in the rate of LSWT change around 2010, good notes on reasons for slower rate of change in LSWT (no ice, models may exaggerate in other studies)",https://www.sciencedirect.com/science/article/pii/S157495412400445X,,no discrepancies to be resolved,WW,MP,,,,,,
0.043,Greece,40.36428348,21.90833815,region,"ERA5 skin surface temp (this is for each grid cell, not an individual lake though and therefore is sometimes representative of land-surface temps)",modelled,Generalized Additive Models,mean,presumed annual,annual,18,39,1981,2020,,"Stefanidis, K., Varlas, G., Papadopoulos, A., & Dimitriou, E. (2021). Four decades of surface temperature, precipitation, and wind speed trends over lakes of Greece. Sustainability, 13(17), 9908.",Stefanidis et al. 2021,Sustainability (MDPI),Paper uses ERA5 climate and lake skin surface temp. Uses skin surface temperature without correctionhas several references for defending this,https://www.mdpi.com/2071-1050/13/17/9908,,"double check if monthly rates are given, seasonal rates should be calculated and added as a new row: note from WW: went back to the study and they refer to monthly average temps but don't report individual monthly rates so seasonal rates cannot be calculated, based on Figure 2, this looks like annual aggregation",WW,CB,,,,,,
0.04,Europe,55.68930227,14.86411692,region,ERA5-Land,modelled,"Mann-Kendall, Sen's approach",mean,annual ,annual,51,38,1981,2019,google scholar,"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",Stefanidis et al. 2022,Science of the Total Environment,,"Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades - ScienceDirect",,,MA,MS,,,,,,
0.046,Europe,55.68930227,14.86411692,region,ERA5-Land,modelled,"Mann-Kendall, Sen's approach",mean,summer,summer,51,38,1981,2019,google scholar,"Stefanidis, K., Varlas, G., Papaioannou, G., Papadopoulos, A., & Dimitriou, E. (2022). Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades. Science of the Total Environment, 830, 154709.",Stefanidis et al. 2022,Science of the Total Environment,,"Trends of lake temperature, mixing depth and ice cover thickness of European lakes during the last four decades - ScienceDirect",,,MA,MS,,,,,,
0.074,Qinghai Lake,36,99,point,modelled (FLake),modelled,linear regression,mean,annual,annual,1,33,1979,2012,Scopus,"Su, D., Hu, X., Wen, L., Lyu, S., Gao, X., Zhao, L., ... & Kirillin, G. (2019). Numerical study on the response of the largest lake in China to climate change. Hydrology and Earth System Sciences, 23(4), 2093-2109.",Su et al. 2019,Hydrology and Earth System Sciences,trend methods were not directly stated,https://hess.copernicus.org/articles/23/2093/2019/hess-23-2093-2019.html,,CB: 33 or 24 years? WW: confirmed this is 33 years (simulated LSWT from 1979-2012),WW,CB,,,,,,
0.024,China,36,104,region,MOD11A2,satellite,linear regression equation,mean,annual,annual,6,17,2001,2018,Scopus,"Tang, L., Yang, K., Shang, C., Peng, Z., & Luo, Y. (2022). Spatial impact of urban expansion on lake surface water temperature based on the perspective of watershed scale. Frontiers in Environmental Science, 10, 991502.","Tang et al., 2022",Frontiers in Environmental Science,Gives per lake and per season (day/night) gives individual rates for all 6 lakes,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.991502/full,,,MS,CB,,,,,,
0.03,Brazil,-32,-52,region,MODIS,satellite,Sens slope,mean,Annual,annual,3,20,2002,2022,Scopus,"Tavares, M. H., Cardoso, M. A., Motta Marques, D., Bonnet, M. P., & Fragoso, C. R. (2024). High Spring Warming Rates in an Extensive Subtropical Shallow Lakes System Detected Using MODIS Imagery [Article]. ACS ES and T Water, 4(4), 1518-1530. https://doi.org/10.1021/acsestwater.3c00622 ",Tavares et al. 2024,ACS ES and T Water,,,,,MP,OR,,,,,,
0.05,Brazil,-32,-52,region,MODIS,satellite,Sens slope,mean,Seasonal,spring,3,20,2002,2022,Scopus,"Tavares, M. H., Cardoso, M. A., Motta Marques, D., Bonnet, M. P., & Fragoso, C. R. (2024). High Spring Warming Rates in an Extensive Subtropical Shallow Lakes System Detected Using MODIS Imagery [Article]. ACS ES and T Water, 4(4), 1518-1530. https://doi.org/10.1021/acsestwater.3c00622 ",Tavares et al. 2024,ACS ES and T Water,,,,,MP,OR,,,,,,
0.03,Brazil,-32,-52,region,MODIS,satellite,Sens slope,mean,Seasonal,summer,3,20,2002,2022,Scopus,"Tavares, M. H., Cardoso, M. A., Motta Marques, D., Bonnet, M. P., & Fragoso, C. R. (2024). High Spring Warming Rates in an Extensive Subtropical Shallow Lakes System Detected Using MODIS Imagery [Article]. ACS ES and T Water, 4(4), 1518-1530. https://doi.org/10.1021/acsestwater.3c00622 ",Tavares et al. 2024,ACS ES and T Water,,,,,MP,OR,,,,,,
0.024,global,32,-35,global,modelled (FLake),modelled,linear regression,mean,annual - ice free (<1degC),annual,92245,39,1981,2020,google scholar,"Tong, Y., Feng, L., Wang, X., Pi, X., Xu, W., & Woolway, R. I. (2023). Global lakes are warming slower than surface air temperature due to accelerated evaporation. Nature Water, 1(11), 929-940.",Tong et al. 2023,Nature Water,,https://www.nature.com/articles/s44221-023-00148-8,,no discrepancies to resolve,WW,MP,,,,,,
0.018,Southeast Asia,16,103,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (day),annual,80,34,1986,2020,Scopuis,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Remote Sensing,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,,no discrepancies to resolve,MA,MP,,,,,,
0.013,Southeast Asia,16,103,region,satellite,satellite,"Mann-Kendall, Sen's approach",mean,annual (night),annual (night),80,34,1986,2020,Scopus,"Virdis, S. G. P., Kongwarakom, S., Juneng, L., Padedda, B. M., & Shrestha, S. (2024). Historical and projected response of Southeast Asian lakes surface water temperature to warming climate. Environmental Research, 247, 118412.","Virdis et al., 2024",Environmental Research,,Historical and projected response of Southeast Asian lakes surface water temperature to warming climate - ScienceDirect,,no discrepancies to resolve,MA,MP,,,,,,
0.01,Sardinia,40.04,9,region,"MODIS, Landsat and long-term in situ temperature observations",satellite,Mann-Kendall test and Sen's slope,mean,annual,annual,24,18,2000,2018,Scopus,"Virdis, S. G. P., Soodcharoen, N., Lugliè, A., & Padedda, B. M. (2020). Estimation of satellite-derived lake water surface temperatures in the western Mediterranean: Integrating multi-source, multi-resolution imagery and a long-term field dataset using a time series approach. The Science of the total environment, 707, 135567. https://doi.org/10.1016/j.scitotenv.2019.135567","Virdis et al., 2020",Science of the Total Environment,also data for winter and summer trends reported in study,https://www.sciencedirect.com/science/article/pii/S0048969719355627?pes=vor&utm_source=scopus&getft_integrator=scopus,,,MS,MP,,,,,,
-0.038,Sardinia,40.04,9,region,"MODIS, Landsat and long-term in situ temperature observations",satellite,Mann-Kendall test and Sen's slope,mean,seasonal,Summer,24,18,2000,2018,Scopus,"Virdis, S. G. P., Soodcharoen, N., Lugliè, A., & Padedda, B. M. (2020). Estimation of satellite-derived lake water surface temperatures in the western Mediterranean: Integrating multi-source, multi-resolution imagery and a long-term field dataset using a time series approach. The Science of the total environment, 707, 135567. https://doi.org/10.1016/j.scitotenv.2019.135567","Virdis et al., 2020",Science of the Total Environment,also data for winter and summer trends reported in study,https://www.sciencedirect.com/science/article/pii/S0048969719355627?pes=vor&utm_source=scopus&getft_integrator=scopus,,,MS,MP,,,,,,
0.013,Sardinia,40.04,9,region,"MODIS, Landsat and long-term in situ temperature observations",satellite,Mann-Kendall test and Sen's slope,mean,seasonal,Winter,24,18,2000,2018,Scopus,"Virdis, S. G. P., Soodcharoen, N., Lugliè, A., & Padedda, B. M. (2020). Estimation of satellite-derived lake water surface temperatures in the western Mediterranean: Integrating multi-source, multi-resolution imagery and a long-term field dataset using a time series approach. The Science of the total environment, 707, 135567. https://doi.org/10.1016/j.scitotenv.2019.135567","Virdis et al., 2020",Science of the Total Environment,also data for winter and summer trends reported in study,https://www.sciencedirect.com/science/article/pii/S0048969719355627?pes=vor&utm_source=scopus&getft_integrator=scopus,,,MS,MP,,,,,,
0.037,Tibetan Plateau,31.67525563,87.80117456,region,"MODIS LST day and night, Landsat (8-day)/CBERS/GaoFen-1 satellite",satellite,linear regression,mean,Annual (night),annual (night),374,14,2001,2015,google scholar,"Wan, W., Li, H., Xie, H., Hong, Y., Long, D., Zhao, L., ... & Yang, W. (2017). A comprehensive data set of lake surface water temperature over the Tibetan Plateau derived from MODIS LST products 2001–2015. Scientific Data, 4(1), 1-10.",Wan et al. 2017,Scientific Data,,https://www.nature.com/articles/sdata201795,,,CB,MP,,,,,,
−0.054,Tibetan Plateau,31.67525563,87.80117456,region,"MODIS LST day and night, Landsat (8-day)/CBERS/GaoFen-1 satellite",satellite,linear regression,mean,annual (day) ,annual,374,14,2001,2015,google scholar,"Wan, W., Li, H., Xie, H., Hong, Y., Long, D., Zhao, L., ... & Yang, W. (2017). A comprehensive data set of lake surface water temperature over the Tibetan Plateau derived from MODIS LST products 2001–2015. Scientific Data, 4(1), 1-10.",Wan et al. 2017,Scientific Data,,https://www.nature.com/articles/sdata201795,,,CB,MP,,,,,,
0.037,Tibetan Plateau,32,88,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,winter,winter,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (−0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,"annual rates match across three reviewers, but double-check whether seasonal rates should also be added (WW and MP include seasonal, which match each other, but MS did not include seasonal, confirm this should be added?)",WW,"MS, MP",,,,,,
0.072,Tibetan Plateau,32,88,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,autumn,autumn,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (−0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,"annual rates match across three reviewers, but double-check whether seasonal rates should also be added (WW and MP include seasonal, which match each other, but MS did not include seasonal, confirm this should be added?)",WW,"MS, MP",,,,,,
0.023,Tibetan Plateau,32,88,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,summer,summer,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (−0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,"annual rates match across three reviewers, but double-check whether seasonal rates should also be added (WW and MP include seasonal, which match each other, but MS did not include seasonal, confirm this should be added?)",WW,"MS, MP",,,,,,
0.019,Tibetan Plateau,32,88,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,spring,spring,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (−0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,"annual rates match across three reviewers, but double-check whether seasonal rates should also be added (WW and MP include seasonal, which match each other, but MS did not include seasonal, confirm this should be added?)",WW,"MS, MP",,,,,,
0.037,Tibetan Plateau,32,88,region,"In situ, Satellite, derived by MODIS and Land Surface Temperature (LST)",satellite,"Linear trend analysis, statistical significance",mean,annual,annual,374,14,2001,2015,,"Wan, W., Zhao, L., Xie, H., Liu, B., Li, H., Cui, Y., ... & Hong, Y. (2018). Lake surface water temperature change over the Tibetan plateau from 2001 to 2015: A sensitive indicator of the warming climate. Geophysical Research Letters, 45(20), 11-177.",Wan et al. 2018,Geophysical Research Letters,Has warming (0.076 °C/year) and cooling (−0.053 °C/year) lakes.  also reports seasonal means,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL078601 ,,"annual rates match across three reviewers, but double-check whether seasonal rates should also be added (WW and MP include seasonal, which match each other, but MS did not include seasonal, confirm this should be added?)",WW,"MS, MP",,,,,,
0.044,Polish lowland lakes,54,19,region,daily in situ measurements,in situ,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,annual,annual,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",Wang et al. 2025,Atmosphere (MDPI),"calculated correlation coefficients between LSWT and air temp trends in different seasons; showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/120,,"WW: went back to this one and found that all seasonal rates should be added (digitized winter rate from table 6), as well as maximum annual and minimum annual (minimum digitized from Table 8)",WW,MP,,,,,,
0.054,Polish lowland lakes,54,19,region,daily in situ measurements,in situ,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,seasonal,spring,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",Wang et al. 2025,Atmosphere (MDPI),"calculated correlation coefficients between LSWT and air temp trends in different seasons; showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/121,,"WW: went back to this one and found that all seasonal rates should be added (digitized winter rate from table 6), as well as maximum annual and minimum annual (minimum digitized from Table 8)",WW,MP,,,,,,
0.056,Polish lowland lakes,54,19,region,daily in situ measurements,in situ,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,seasonal,summer,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",Wang et al. 2025,Atmosphere (MDPI),"calculated correlation coefficients between LSWT and air temp trends in different seasons; showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/122,,"WW: went back to this one and found that all seasonal rates should be added (digitized winter rate from table 6), as well as maximum annual and minimum annual (minimum digitized from Table 8)",WW,MP,,,,,,
0.053,Polish lowland lakes,54,19,region,daily in situ measurements,in situ,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,seasonal,autumn,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",Wang et al. 2025,Atmosphere (MDPI),"calculated correlation coefficients between LSWT and air temp trends in different seasons; showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/123,,"WW: went back to this one and found that all seasonal rates should be added (digitized winter rate from table 6), as well as maximum annual and minimum annual (minimum digitized from Table 8)",WW,MP,,,,,,
0.017,Polish lowland lakes,54,19,region,daily in situ measurements,in situ,"Mann Kendall trend test and Sen's slope, correlation coefficient btw LSWT and air temp",mean,seasonal,winter,25,29,1987,2016,,"Wang, R., Dong, W., Sun, J., Sojka, M., Ptak, M., & Zhu, S. (2025). Long-Term Trends of Lake Surface Water Temperatures in Lowland Polish Temperate Lakes [Article]. Atmosphere, 16(2), Article 120. https://doi.org/10.3390/atmos16020120 ",Wang et al. 2025,Atmosphere (MDPI),"calculated correlation coefficients between LSWT and air temp trends in different seasons; showed different trends between annual mean and annual max, focus on differences across seasons, as well as relationship between water and air temperature",https://www.mdpi.com/2073-4433/16/2/124,,"WW: went back to this one and found that all seasonal rates should be added (digitized winter rate from table 6), as well as maximum annual and minimum annual (minimum digitized from Table 8)",WW,MP,,,,,,
