"date","LID","Name","LST","year"
2008-05-05,"50704","Lake Hope",2.00990344848054,2008
2011-04-28,"54737","Lake Dunstan",10.6562498912043,2011
2022-10-06,"24960","Lake Lockett",4.10783100447799,2022
2019-04-18,"39191","Lake Morgan",9.07952373706996,2019
2021-08-20,"28856","0",2.36746623015273,2021
2007-12-06,"48700","Lake Letitia",19.0717460892286,2007
2021-08-20,"52473","0",5.48365174929791,2021
2021-08-20,"54144","Lake Sylvan",4.69616529964526,2021
2018-09-06,"8890","0",5.131314948392,2018
2023-12-10,"48660","Lake Pearson",14.3140949902713,2023
2011-04-28,"7901","Fraser Dam",8.96745919222809,2011
2011-04-28,"7640","0",7.50290987832716,2011
2022-10-06,"44747","Tomahawk Lagoon",6.07323625334163,2022
2021-05-25,"47193","Lake Alexandrina",9.02632672503802,2021
2011-07-26,"48673","Lake Sarah",0.881906322601367,2011
2021-08-20,"26099","0",0.630043147336778,2021
2011-07-26,"41305","Lake Clearwater",2.28643041059274,2011
2010-08-10,"13277","Lake Hinemaiaia",4.75838777336929,2010
2001-06-10,"53304","Blue Lake",2.14533852405089,2001
2011-07-26,"47860","Lake Emily",0.78053362324664,2011
2007-12-06,"47404","0",12.6706648842325,2007
2007-12-06,"48447","Lake Georgina",18.502082184336,2007
2017-08-02,"44694","Lake Waipori",2.85994839564739,2017
2021-08-20,"29031","Lake Kakapo",2.67987028461869,2021
2019-09-18,"24969","Cobb Reservoir",6.71157565959209,2019
2019-09-18,"25024","Boulder Lake",5.24290624213643,2019
2022-10-06,"25002","Lake Stanley",6.29893144307016,2022
2006-06-24,"30812","Big Lagoon",2.520937673064,2006
2013-06-06,"25972","Mata Kopae Lagoon",5.11052255688924,2013
2021-08-20,"29679","0",0.526676301447537,2021
2014-05-31,"41299","Lake Emma",0.343980856566816,2014
2007-12-06,"39226","Lake Ahaura",16.4444283355904,2007
2015-07-12,"47404","0",1.10671442344864,2015
2020-07-16,"30812","Big Lagoon",3.28673945937703,2020
2020-07-16,"29547","Loch Maree",1.67122912142037,2020
2020-07-16,"51657","0",3.46523965746314,2020
2023-09-25,"12469","Wainono Lagoon",8.99792331081636,2023
2013-06-04,"7901","Fraser Dam",2.08617916209255,2013
2021-05-25,"46992","Okaritoiti/Lake Windermere",9.35617911156351,2021
2001-07-05,"48451","Lake Coleridge",8.7999466190941,2001
2013-06-04,"53545","Lake Dispute",3.97936959081778,2013
2001-07-05,"48213","Lake Selfe",3.4757808404417,2001
2018-09-06,"7657","Greenland Reservoir",5.687785108144,2018
2014-09-29,"47579","Lake Forsyth (Lake Wairewa)",10.5891411870217,2014
2020-07-16,"51656","0",5.74747327576296,2020
2016-06-07,"5014","Lake Kaikokopu",6.73408636911978,2016
2020-07-16,"52389","Lake Hall",2.8658027629657,2020
2020-07-16,"52306","0",0.115159951775524,2020
2006-06-24,"28835","Lake Widgeon",2.43698637551125,2006
2019-04-18,"41354","Lake Roundabout",11.0875791017934,2019
2008-05-05,"56935","0",8.87054814694454,2008
2019-04-18,"12307","Lake Waitaki",13.9735743572625,2019
2008-04-19,"46564","Lake Pukaki",11.5742121132188,2008
2003-08-12,"53545","Lake Dispute",2.54251771556835,2003
2010-08-10,"15325","Lake Okareka",9.19539139963166,2010
2001-07-05,"47090","Lake Rotokino",0.885265090844712,2001
2001-06-10,"52577","Bog Lake",4.12811425116314,2001
2015-07-12,"39226","Lake Ahaura",6.50012535040798,2015
2016-08-06,"53872","Lake Fergus",2.59163335338184,2016
2021-08-20,"52878","Swan Mere",3.97723741638322,2021
2010-08-10,"20851","Upper Tama",2.28705109648911,2010
2001-06-10,"52576","Lake Mistletoe",4.19256027458971,2001
2010-08-10,"36980","Lake Waikopiro",9.10558274598378,2010
2011-04-28,"38974","Lake Brunner / Moana",12.3388985089848,2011
2016-06-07,"5042","Pukepuke Lagoon",7.26390797472891,2016
2019-04-18,"39191","Lake Morgan",9.23507737774145,2019
2008-05-05,"53304","Blue Lake",4.69616529964526,2008
2011-04-28,"38664","Kangaroo Lake",11.8960195199257,2011
2007-08-14,"52731","lcdb2000065376",1.05512596211958,2007
2007-12-06,"44746","Tomahawk Lagoon",16.0303791318386,2007
2007-12-06,"44747","Tomahawk Lagoon",16.4581292766306,2007
2021-08-20,"52576","Lake Mistletoe",5.64428345616801,2021
2007-12-06,"48213","Lake Selfe",16.6298082501465,2007
2007-12-06,"39356","Lake Taylor",13.4847492096659,2007
2013-05-28,"41305","Lake Clearwater",3.0415131501266,2013
2005-07-16,"54742","Waituna Lagoon",4.01494738490635,2005
2019-09-18,"24947","Lake Cobb",4.76929763573833,2019
2021-09-14,"47193","Lake Alexandrina",5.44147377987593,2021
2022-10-06,"44405","0",5.84690104042807,2022
2021-09-14,"54672","Lake Wanaka",8.90208007514707,2021
2021-08-20,"45483","Red Lagoon",2.32905228736081,2021
2011-07-26,"48660","Lake Pearson",3.13652611757192,2011
2015-07-12,"38665","Lady Lake",5.91945011116269,2015
2007-12-06,"39357","Lake Sheppard",15.2484887119672,2007
2018-06-02,"43639","Lake Brunton",0.249868751363294,2018
2018-06-02,"53392","Lake Ned",1.10826909274601,2018
2010-08-10,"40120","Lake Rotoroa",9.31765536989343,2010
2021-08-20,"53020","0",4.35962560231076,2021
2014-07-16,"52684","0",1.28395611411611,2014
2014-09-29,"48177","Lake Ellesmere (Te Waihora)",12.8432820606425,2014
2019-04-18,"38521","Okuku Reservoir",13.9534793124976,2019
2008-10-05,"56935","0",11.4832941873006,2008
2015-07-12,"38638","Kapitia Reservoir",4.69616529964526,2015
2021-08-20,"53062","Lake Ada",5.23257943706483,2021
2007-12-06,"54738","Lake Sumner",12.5086956435302,2007
2021-05-25,"47193","Lake Alexandrina",8.81282687262848,2021
2023-09-25,"47193","Lake Alexandrina",6.46524115979918,2023
2001-06-10,"53304","Blue Lake",2.31275890778227,2001
2019-09-18,"27286","Lake Mcrae",6.4995746985611,2019
2008-05-05,"47198","Lake Mcgregor",7.51640711086367,2008
2008-05-05,"38974","Lake Brunner / Moana",12.8189531869668,2008
2011-07-24,"46723","Lake Moeraki",6.07370020069027,2011
2008-05-05,"48213","Lake Selfe",9.62393293136006,2008
2014-07-16,"46212","Lake Douglas",2.75538017422423,2014
2014-07-16,"54413","0",2.69544613972812,2014
2019-04-18,"48447","Lake Georgina",11.8239288039451,2019
2021-09-14,"46992","Okaritoiti/Lake Windermere",10.2332710012478,2021
2023-09-25,"41306","Lake Camp",7.01294081298715,2023
2013-05-28,"48447","Lake Georgina",4.15101723179379,2013
2014-07-16,"54060","Lake Adelaide",0.625162465828794,2014
2018-09-06,"53145","Lake Nigel",3.74122141016426,2018
2001-08-15,"44405","0",3.1778674648948,2001
2021-05-25,"47228","Lake Tekapo",10.0103768910471,2021
2022-10-06,"25765","Druggans Dam",11.1848047183389,2022
2005-09-29,"4","Lake Kohangatera",11.2423819022532,2005
2023-12-10,"54738","Lake Sumner",12.0763789276373,2023
2021-08-20,"29858","0",1.67839655992003,2021
2010-08-10,"13148","Lake Kuratau",7.07635513653645,2010
2014-05-31,"48177","Lake Ellesmere (Te Waihora)",6.1845892786431,2014
2021-08-20,"26045","0",3.12838817927565,2021
2016-07-02,"36981","Lake Tutira",10.1111312449704,2016
2016-07-02,"40396","Lake Waikareiti",7.62998530272131,2016
2020-07-16,"52641","Lake Clark",2.49432163970124,2020
2016-06-07,"4342","Mangahao Upper No 1 Reservior",5.90906807561458,2016
2016-07-02,"36285","Hurimoana Swamp",5.27824249950328,2016
2014-07-16,"52660","Lake Ogle",1.91717480836957,2014
2016-06-07,"5306","Omanuka Lagoon",7.29304439098269,2016
2014-09-29,"25972","Mata Kopae Lagoon",14.1597314768023,2014
2019-04-18,"47228","Lake Tekapo",12.9042927607367,2019
2011-04-28,"47199","Roys Lagoon",7.20730655966207,2011
2015-07-12,"44694","Lake Waipori",0.981821412108104,2015
2018-09-06,"7777","Poolburn Reservoir",5.05731585451935,2018
2018-09-06,"47193","Lake Alexandrina",5.68251792421,2018
2021-08-20,"52077","0",4.69616529964526,2021
2007-07-15,"44747","Tomahawk Lagoon",3.22685304578374,2007
2000-05-08,"48456","Lake Catherine",7.9026907028391,2000
