"site","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Whanganui (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.05124060139953602,0.1850229511867443,0.01626340191248922,0.3516009852216749,0.9,1.9494592777256947,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)","1972-01-01","2022-12-31",4.1007823120967795e-4,0.4278166216430954,0.21758540372670812,0.6129658385093167,0.9,3.5335115116116604,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835
"Whangārei (Northland)","1972-01-01","2022-12-31",0.22618321641500608,0.16716269841269848,-0.04153726708074532,0.3737244897959184,0.9,1.2102493767134637,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.769,174.364
"Auckland (Auckland)","1972-01-01","2022-12-31",4.517137972262013e-5,NA,NA,NA,NA,3.915164049432437,"Mann-Kendall",51,NA,483,15156.333333333334,0.3791209959117917,"greater","Very likely increasing",-37.00813,174.78873
"Blenheim (Marlborough)","1972-01-01","2022-12-31",0.01567510490718489,NA,NA,NA,NA,2.152598966843885,"Mann-Kendall",51,NA,266,15155.333333333334,0.20887332902798522,"greater","Very likely increasing",-41.52133,173.86439
"Christchurch (Canterbury)","1972-01-01","2022-12-31",0.08874013782704594,NA,NA,NA,NA,1.348553964704057,"Mann-Kendall",51,NA,167,15152.333333333334,0.13128967332455177,"greater","Very likely increasing",-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.0028001161998610935,NA,NA,NA,NA,2.770313717913036,"Mann-Kendall",51,NA,342,15151.333333333334,0.2689746721922766,"greater","Very likely increasing",-40.21,176.109
"Dunedin (Otago)","1972-01-01","2022-12-31",0.6696150241100435,NA,NA,NA,NA,-0.4388503813626145,"Mann-Kendall",51,NA,-55,15141,-0.04341049440298087,"greater","Likely decreasing",-45.90129,170.5147
"Gisborne (Gisborne)","1972-01-01","2022-12-31",0.0718576635704836,NA,NA,NA,NA,1.4620944582942712,"Mann-Kendall",51,NA,181,15156.333333333334,0.14207225726715175,"greater","Very likely increasing",-38.6586,177.9851
"Gore (Southland)","1972-01-01","2022-12-31",0.06643796998872868,NA,NA,NA,NA,1.502856936146464,"Mann-Kendall",51,NA,186,15153.333333333334,0.1461692408346847,"greater","Very likely increasing",-46.115,168.887
"Hamilton (Waikato)","1972-01-01","2022-12-31",0.0010986762110480855,NA,NA,NA,NA,3.0621745974562136,"Mann-Kendall",51,NA,378,15157.333333333334,0.2965869196457884,"greater","Very likely increasing",-37.86088,175.33175
"Hokitika (West Coast)","1972-01-01","2022-12-31",0.3705385226160671,NA,NA,NA,NA,0.3304273942439779,"Mann-Kendall",51,NA,38,12538.666666666666,0.03616342524128857,"greater","Indeterminate",-42.71228,170.98428
"Invercargill (Southland)","1972-01-01","2022-12-31",0.04012979189408795,NA,NA,NA,NA,1.7491818882732497,"Mann-Kendall",51,NA,216,15108,0.1716476495645164,"greater","Very likely increasing",-46.41741,168.33052
"Kerikeri (Northland)","1972-01-01","2022-12-31",0.013856085679174181,NA,NA,NA,NA,2.2013370566592183,"Mann-Kendall",51,NA,272,15155.333333333334,0.21358475750230066,"greater","Very likely increasing",-35.183,173.926
"Lake Tekapo (Canterbury)","1972-01-01","2022-12-31",0.009452563823641295,NA,NA,NA,NA,2.3473964420818185,"Mann-Kendall",51,NA,290,15157.333333333334,0.22754022935788001,"greater","Very likely increasing",-44.002,170.441
"Masterton (Wellington)","1972-01-01","2022-12-31",7.67797345025634e-4,NA,NA,NA,NA,3.167871326304254,"Mann-Kendall",51,NA,391,15156.333333333334,0.30690747288097425,"greater","Very likely increasing",-40.957,175.707
"Milford Sound (Southland)","1972-01-01","2022-12-31",0.8343023417961359,NA,NA,NA,NA,-0.9713072161754679,"Mann-Kendall",51,NA,-120,15010,-0.0968529627042991,"greater","Likely decreasing",-44.67384,167.92406
"Napier (Hawke's Bay)","1972-01-01","2022-12-31",0.0033338805322860854,NA,NA,NA,NA,2.712997494834925,"Mann-Kendall",51,NA,335,15156.333333333334,0.2629514153839549,"greater","Very likely increasing",-39.49846,176.91189
"Nelson (Nelson)","1972-01-01","2022-12-31",0.0026650339105525256,NA,NA,NA,NA,2.7863779951256062,"Mann-Kendall",51,NA,344,15153.333333333334,0.27033450993081465,"greater","Very likely increasing",-41.299,173.226
"New Plymouth (Taranaki)","1972-01-01","2022-12-31",0.005242723183989587,NA,NA,NA,NA,2.559395205937323,"Mann-Kendall",51,NA,315,15051.666666666666,0.25184491128726727,"greater","Very likely increasing",-39.0079,174.18382
