"year","temperature","data_released","source","anomaly","reference_period"
1969,NA,2022,"IPCC",-0.9722098666666668,"1991-2020"
1970,NA,2022,"IPCC",-0.8409098666666667,"1991-2020"
1971,NA,2022,"IPCC",-0.9257318666666667,"1991-2020"
1972,NA,2022,"IPCC",-1.0583158666666668,"1991-2020"
1973,NA,2022,"IPCC",-0.5844998666666666,"1991-2020"
1974,NA,2022,"IPCC",-1.0616478666666667,"1991-2020"
1975,NA,2022,"IPCC",-0.7654738666666667,"1991-2020"
1976,NA,2022,"IPCC",-1.1488878666666666,"1991-2020"
1977,NA,2022,"IPCC",-0.6643478666666667,"1991-2020"
1978,NA,2022,"IPCC",-0.8224998666666667,"1991-2020"
1979,NA,2022,"IPCC",-0.7743478666666667,"1991-2020"
1980,NA,2022,"IPCC",-0.5477918666666667,"1991-2020"
1981,NA,2022,"IPCC",-0.36244786666666673,"1991-2020"
1982,NA,2022,"IPCC",-0.8215338666666667,"1991-2020"
1983,NA,2022,"IPCC",-0.4486598666666667,"1991-2020"
1984,NA,2022,"IPCC",-0.8174118666666667,"1991-2020"
1985,NA,2022,"IPCC",-0.8123778666666667,"1991-2020"
1986,NA,2022,"IPCC",-0.6474278666666666,"1991-2020"
1987,NA,2022,"IPCC",-0.5080358666666667,"1991-2020"
1988,NA,2022,"IPCC",-0.3081198666666667,"1991-2020"
1989,NA,2022,"IPCC",-0.5467058666666667,"1991-2020"
1990,NA,2022,"IPCC",-0.2688658666666668,"1991-2020"
1991,NA,2022,"IPCC",-0.32141986666666666,"1991-2020"
1992,NA,2022,"IPCC",-0.6776478666666667,"1991-2020"
1993,NA,2022,"IPCC",-0.6209338666666667,"1991-2020"
1994,NA,2022,"IPCC",-0.45124586666666666,"1991-2020"
1995,NA,2022,"IPCC",-0.16053186666666663,"1991-2020"
1996,NA,2022,"IPCC",-0.48494786666666667,"1991-2020"
1997,NA,2022,"IPCC",-0.2880598666666667,"1991-2020"
1998,NA,2022,"IPCC",0.018320133333333377,"1991-2020"
1999,NA,2022,"IPCC",-0.1989658666666667,"1991-2020"
2000,NA,2022,"IPCC",-0.2924178666666666,"1991-2020"
2001,NA,2022,"IPCC",-0.07553586666666678,"1991-2020"
2002,NA,2022,"IPCC",0.05821413333333325,"1991-2020"
2003,NA,2022,"IPCC",0.017666133333333223,"1991-2020"
2004,NA,2022,"IPCC",-0.14691186666666667,"1991-2020"
2005,NA,2022,"IPCC",0.18521013333333336,"1991-2020"
2006,NA,2022,"IPCC",0.0585401333333333,"1991-2020"
2007,NA,2022,"IPCC",0.2472401333333334,"1991-2020"
2008,NA,2022,"IPCC",-0.034569866666666726,"1991-2020"
2009,NA,2022,"IPCC",0.03530213333333343,"1991-2020"
2010,NA,2022,"IPCC",0.21203013333333343,"1991-2020"
2011,NA,2022,"IPCC",0.033742133333333424,"1991-2020"
2012,NA,2022,"IPCC",0.035118133333333246,"1991-2020"
2013,NA,2022,"IPCC",0.12610013333333336,"1991-2020"
2014,NA,2022,"IPCC",0.09601613333333336,"1991-2020"
2015,NA,2022,"IPCC",0.3894901333333334,"1991-2020"
2016,NA,2022,"IPCC",0.5487521333333334,"1991-2020"
2017,NA,2022,"IPCC",0.4423041333333333,"1991-2020"
2018,NA,2022,"IPCC",0.23517213333333342,"1991-2020"
2019,NA,2022,"IPCC",0.43147613333333323,"1991-2020"
2020,NA,2022,"IPCC",0.5824941333333333,"1991-2020"
1909,NA,2022,"IPCC",-0.49056679999999997,"1961-1990"
1910,NA,2022,"IPCC",-0.4697988,"1961-1990"
1911,NA,2022,"IPCC",-0.5374948,"1961-1990"
1912,NA,2022,"IPCC",-0.5373108,"1961-1990"
1913,NA,2022,"IPCC",-0.4095548,"1961-1990"
1914,NA,2022,"IPCC",-0.14544079999999998,"1961-1990"
1915,NA,2022,"IPCC",-0.1441708,"1961-1990"
1916,NA,2022,"IPCC",-0.5031368,"1961-1990"
1917,NA,2022,"IPCC",-0.6901108,"1961-1990"
1918,NA,2022,"IPCC",-0.5376768,"1961-1990"
1919,NA,2022,"IPCC",-0.35851279999999996,"1961-1990"
1920,NA,2022,"IPCC",-0.3947948,"1961-1990"
1921,NA,2022,"IPCC",-0.20770080000000002,"1961-1990"
1922,NA,2022,"IPCC",-0.3584908,"1961-1990"
1923,NA,2022,"IPCC",-0.3547648,"1961-1990"
1924,NA,2022,"IPCC",-0.3224308,"1961-1990"
1925,NA,2022,"IPCC",-0.2595488,"1961-1990"
1926,NA,2022,"IPCC",-0.09842279999999998,"1961-1990"
1927,NA,2022,"IPCC",-0.2858828,"1961-1990"
1928,NA,2022,"IPCC",-0.19611079999999997,"1961-1990"
1929,NA,2022,"IPCC",-0.5530608,"1961-1990"
1930,NA,2022,"IPCC",-0.19023279999999998,"1961-1990"
1931,NA,2022,"IPCC",-0.1312068,"1961-1990"
1932,NA,2022,"IPCC",-0.11681079999999999,"1961-1990"
1933,NA,2022,"IPCC",-0.4342168,"1961-1990"
1934,NA,2022,"IPCC",-0.1742788,"1961-1990"
1935,NA,2022,"IPCC",-0.2675788,"1961-1990"
1936,NA,2022,"IPCC",-0.2223388,"1961-1990"
1937,NA,2022,"IPCC",-0.1209248,"1961-1990"
1938,NA,2022,"IPCC",0.05506719999999998,"1961-1990"
1939,NA,2022,"IPCC",-0.019282800000000044,"1961-1990"
1940,NA,2022,"IPCC",-0.04276479999999999,"1961-1990"
1941,NA,2022,"IPCC",-0.05211080000000001,"1961-1990"
1942,NA,2022,"IPCC",-0.09868880000000002,"1961-1990"
1943,NA,2022,"IPCC",-0.06582280000000001,"1961-1990"
1944,NA,2022,"IPCC",0.05449720000000002,"1961-1990"
1945,NA,2022,"IPCC",-0.2134488,"1961-1990"
1946,NA,2022,"IPCC",-0.14103880000000002,"1961-1990"
1947,NA,2022,"IPCC",-0.05658279999999999,"1961-1990"
1948,NA,2022,"IPCC",-0.06516080000000002,"1961-1990"
1949,NA,2022,"IPCC",-0.19234679999999998,"1961-1990"
1950,NA,2022,"IPCC",-0.4265588,"1961-1990"
1951,NA,2022,"IPCC",-0.17334280000000002,"1961-1990"
1952,NA,2022,"IPCC",-0.1532208,"1961-1990"
1953,NA,2022,"IPCC",0.08121920000000005,"1961-1990"
1954,NA,2022,"IPCC",-0.2176088,"1961-1990"
1955,NA,2022,"IPCC",-0.20487879999999997,"1961-1990"
1956,NA,2022,"IPCC",-0.5052508,"1961-1990"
