"site","statistic","month","year","data_value","lat","lon","unit"
"Auckland","Average max gust",7,2002,48.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2003,38.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2004,42.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2005,43.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2006,36,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2007,45.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2008,51.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2009,42.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2010,35,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2011,50.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2012,36.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2013,33.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2014,47.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2015,42.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2016,53.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2017,42.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2018,38.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2019,38.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2020,43.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2021,42.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2022,48.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,1995,43.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,1996,50.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,1997,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,1998,43.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,1999,39.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2000,41.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2001,45,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2002,49.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",8,2003,39.1,-37.00813,174.78873,"km/hr"
