"district","lat","lon","Average_Annual_temp","Average_Autumn_temp","Average_Spring_temp","Average_Summer_temp","Average_Winter_temp","Maximum_Annual_temp","Maximum_Autumn_temp","Maximum_Spring_temp","Maximum_Summer_temp","Maximum_Winter_temp","Minimum_Annual_temp","Minimum_Autumn_temp","Minimum_Spring_temp","Minimum_Summer_temp","Minimum_Winter_temp"
"Kerikeri (Northland)",-35.183,173.926,15.4531045751634,16.4633986928105,14.4503267973856,19.0366666666667,11.8705882352941,20.197385620915,21.1300653594771,19.2562091503268,24.034,16.3732026143791,10.706862745098,11.7915032679739,9.6437908496732,14.0433333333333,7.36143790849673
"Lake Tekapo (Canterbury)",-44.002,170.441,8.85401606425703,9.35072463768116,8.98043478260869,14.3825757575758,2.69450549450549,14.4386904761905,14.9909420289855,14.7105072463768,20.861797752809,7.25750915750916,3.30549242424242,3.72150537634409,3.24229390681004,7.96959706959707,-1.86666666668132
"Masterton (Wellington)",-40.957,175.707,12.4009803921569,12.8882352941176,11.9006535947712,16.722,8.11045751633987,17.7504901960784,18.3640522875817,17.1732026143791,22.652,12.8300653594771,7.04885620915033,7.40588235294118,6.61960784313725,10.7933333333333,3.39542483660131
"Milford Sound (Southland)",-44.67384,167.92406,10.5121428571429,11.1856540084388,10.2406504065041,14.6448412698413,5.84698795180723,14.7530821917808,15.4642276422764,14.6012048192771,19.0611111111111,9.72369477911647,6.23940329218107,6.87882352941176,5.84469696969697,10.2486274509804,1.96235294117647
"Napier (Hawke's Bay)",-39.49846,176.91189,14.3904618473896,14.921686746988,14.0578313253012,18.9349593495935,9.64136546184739,19.2286144578313,19.8124497991968,18.9642570281124,23.7239837398374,14.4104417670683,9.55130522088353,10.0329317269076,9.15502008032129,14.1410569105691,4.86746987951807
"Nelson (Nelson)",-41.299,173.226,12.7202991452991,13.3649572649573,12.3145833333333,17.2451476793249,7.87708333333333,17.2853632478632,18.0226495726496,16.7008333333333,21.6405063291139,12.7195833333333,8.12905982905983,8.67948717948718,7.89208333333333,12.8236286919831,3.02041666666667
"New Plymouth (Taranaki)",-39.0079,174.18382,13.575,14.510970464135,12.7016877637131,17.0493506493507,10.0194092827004,17.3309829059829,18.4616033755274,16.2139240506329,21.0748917748918,13.5556962025316,9.80886075949367,10.5658227848101,9.18523206751055,13.0192307692308,6.46666666666667
"Queenstown (Otago)",-45.01758,168.74005,9.7609477124183,9.98823529411765,9.8124183006536,15.1066666666667,4.14248366013072,15.0539215686275,15.2156862745098,15.2228758169935,21.0246666666667,8.75686274509804,4.47124183006536,4.76013071895425,4.41045751633987,9.19266666666667,-0.471241830039216
"Reefton (West Coast)",-42.11578,171.86014,11.6,12.0666666666667,11.481045751634,16.5973333333333,6.24705882352941,16.8415032679739,17.2176470588235,16.7895424836601,22.4593333333333,10.8862745098039,6.36160130718954,6.92287581699346,6.16862745098039,10.7373333333333,1.6156862745098
"Rotorua (Bay of Plenty)",-38.10595,176.31485,12.8158496732026,13.4960784313725,12.1359477124183,17.3566666666667,8.28039215686274,17.4292483660131,18.1771241830065,16.6581699346405,22.328,12.5535947712418,8.20147058823529,8.8124183006536,7.60522875816993,12.3846666666667,4.01503267973856
"Tara Hills (Canterbury)",-44.52612,169.88948,9.37904761904762,9.59953703703704,9.65601851851852,15.4643192488263,2.79107981220657,15.7286904761905,15.9490740740741,16.225462962963,22.5295774647887,8.23004694835681,3.02164351851852,3.24722222222222,3.0875,8.40093896713615,-2.64398148144444
"Taumarunui (Manawatu-Whanganui)",-38.88784,175.25981,12.7207746478873,13.1071111111111,12.3720720720721,17.768018018018,7.58333333333333,18.8982876712329,19.576,18.3408888888889,24.5426666666667,13.1777777777778,6.50422374429224,6.62311111111111,6.38201754385965,11.0022522522523,1.98133333333333
"Taupo (Waikato)",-38.74263,176.08104,11.9354575163399,12.416339869281,11.302614379085,16.792,7.2359477124183,16.9540849673203,17.5274509803922,16.2385620915033,22.39,11.6542483660131,6.92352941176471,7.31503267973856,6.38300653594771,11.1946666666667,2.81699346405229
"Tauranga (Bay of Plenty)",-37.673,176.196,14.8992324561403,15.6845833333333,14.1195833333333,19.0004166666667,10.6415637860082,19.2117324561403,20.0629166666667,18.3670833333333,23.4208333333333,14.9020576131687,10.5384773662551,11.3,9.84959349593496,14.5547325102881,6.38861788617886
"Timaru (Canterbury)",-44.30517,171.22141,10.6830065359477,11.1143790849673,10.5091503267974,15.3186666666667,5.79738562091503,16.3633986928105,16.8450980392157,16.3052287581699,20.8553333333333,11.4640522875817,4.99705882352941,5.37450980392157,4.71241830065359,9.77133333333333,0.12875816996732
"Waiouru (Manawatu-Whanganui)",-39.46249,175.66283,9.23022875816993,9.83333333333333,8.53725490196078,13.7226666666667,4.84183006535948,13.7410130718954,14.3797385620915,13.0751633986928,19.0686666666667,8.45228758169935,4.71274509803922,5.2843137254902,3.99411764705882,8.372,1.21764705882353
"Wellington (Wellington)",-41.285,174.768,12.8014492753623,13.6376811594203,12.0576086956522,16.3919413919414,9.13152173913043,15.7949275362319,16.5735507246377,15.1086956521739,19.7937728937729,11.7192028985507,9.78125,10.675,8.98478260869565,12.9608058608059,6.51413043478261
"Whanganui (Manawatu-Whanganui)",-39.93704,175.04509,14.0795751633987,14.837908496732,13.421568627451,17.9573333333333,10.1130718954248,18.072385620915,18.983660130719,17.2333333333333,22.158,13.9241830065359,10.0839869281046,10.6862745098039,9.6078431372549,13.7513333333333,6.30326797385621
"Whangaparaoa (Auckland)",-36.606,174.835,15.8385620915033,16.9287581699346,14.7849673202614,19.3266666666667,12.318954248366,18.9607843137255,20.0457516339869,17.8869281045752,23.0653333333333,14.8490196078431,12.7165032679739,13.8039215686275,11.6862745098039,15.5933333333333,9.78823529411765
"Whangarei (Northland)",-35.769,174.364,15.86,16.8121212121212,14.9065476190476,19.690303030303,12.0248484848485,20.0477272727273,20.9109090909091,19.1494047619048,24.150303030303,15.9854545454545,11.6772727272727,12.7163636363636,10.664880952381,15.2290909090909,8.0830303030303
