"LID","Type","State","PredictedValue","LowerCI","UpperCI"
"10605","Total Phosphorus","Reference",5.72783984013479,2.82135711022406,13.6560627394805
"10706","Total Nitrogen","Current",1563.98126105142,948.806520750693,2744.27349978501
"10706","Total Nitrogen","Reference",182.009457172398,99.6666423178753,335.957952527518
"10706","Total Phosphorus","Current",75.1537710466953,25.4315167459772,161.966230352057
"10706","Total Phosphorus","Reference",7.55068815634854,2.2762607542396,26.2175159728746
"10718","Total Nitrogen","Current",1512.58539893526,908.178674110628,2758.17571139573
"10718","Total Nitrogen","Reference",66.4820034758021,30.0311134425321,140.341066983832
"10718","Total Phosphorus","Current",16.9518919108673,7.1807281058377,41.6630219445232
"10718","Total Phosphorus","Reference",3.29350609067181,1.90909611112993,6.34800182998493
"11030","Total Nitrogen","Current",537.451586229984,371.155364171397,814.610926222634
"11030","Total Nitrogen","Reference",149.242510719079,78.272783668716,278.942634996881
"11030","Total Phosphorus","Current",20.0717769079026,10.5644364951443,41.8607662853248
"11030","Total Phosphorus","Reference",5.17931124842295,3.36844134784037,8.82912834861625
"11084","Total Nitrogen","Current",392.715469407835,264.307132674994,569.900730755397
"11084","Total Nitrogen","Reference",349.183035663573,183.64656733367,714.351376680628
"11084","Total Phosphorus","Current",21.5098873495111,10.462076060226,40.9506926766744
"11084","Total Phosphorus","Reference",15.8677521832682,6.99798593638792,39.1318400098457
"11133","Total Nitrogen","Current",429.799922437879,291.610262570884,683.686021740908
"11133","Total Nitrogen","Reference",193.228846865357,104.812043432533,380.395134641101
"11133","Total Phosphorus","Current",23.2736402303883,13.9809010388155,39.6889819665427
"11133","Total Phosphorus","Reference",9.46209288565717,7.12604225667853,13.1852873838245
"11138","Total Nitrogen","Current",181.183141080748,115.767064777822,261.529811693083
"11138","Total Nitrogen","Reference",194.179684411607,104.79517824529,379.019676214765
"11138","Total Phosphorus","Current",12.3762659644349,7.80331586915638,19.9923693629843
"11138","Total Phosphorus","Reference",8.11658519993524,6.05896076446525,11.4655604850059
"11476","Total Nitrogen","Current",928.246477798827,612.743697070292,1439.00826992351
"11476","Total Nitrogen","Reference",145.695158518394,71.6238407832973,277.670959159652
"11476","Total Phosphorus","Current",23.1635778710773,14.3456292619339,38.1421012085559
"11476","Total Phosphorus","Reference",5.25295659954554,1.86369605728163,14.960925050941
"11490","Total Nitrogen","Current",490.813002772888,333.633808355831,739.300835742521
"11490","Total Nitrogen","Reference",155.299299378321,77.9093907748234,298.084689522834
"11490","Total Phosphorus","Current",23.7796221802668,11.6378857727238,45.9263829987945
"11490","Total Phosphorus","Reference",6.28278216263954,3.95190946326727,9.96801624890006
"11614","Total Nitrogen","Current",186.242769660733,123.41158394401,277.145618126737
"11614","Total Nitrogen","Reference",128.241315042786,65.639349709038,231.000660187938
"11614","Total Phosphorus","Current",15.9385712645316,9.37375093739166,28.473797614131
"11614","Total Phosphorus","Reference",5.78125647319115,2.79686408268848,12.9450600869597
"11616","Total Nitrogen","Current",641.397249497149,440.661938260146,968.59157888755
"11616","Total Nitrogen","Reference",138.558069361668,69.5340108934411,264.24150437135
"11616","Total Phosphorus","Current",17.6713241247216,10.207084914006,32.1419969206867
"11616","Total Phosphorus","Reference",4.97769666573866,1.87270419216802,13.1194080343256
"11620","Total Nitrogen","Current",295.364803406731,196.256774599174,429.647307017289
"11620","Total Nitrogen","Reference",156.782709702849,81.3433258305945,289.476823147413
"11620","Total Phosphorus","Current",18.4158006706184,10.9916355136228,28.9333202986905
"11620","Total Phosphorus","Reference",5.53666273486936,3.52332544401816,8.81647913856997
"11654","Total Nitrogen","Current",251.413148395369,159.669488935821,355.999530959196
"11654","Total Nitrogen","Reference",167.594267844611,81.5123225872058,313.406891130298
"11654","Total Phosphorus","Current",23.5652081673246,10.5958395017102,49.4268554985398
"11654","Total Phosphorus","Reference",6.61860777856866,3.51637869837367,11.2726106929537
"11656","Total Nitrogen","Current",269.436448557757,177.881587200143,377.103736159211
"11656","Total Nitrogen","Reference",153.218881174567,74.0121960210025,286.327345201008
"11656","Total Phosphorus","Current",8.84232340106367,5.38375974339889,14.9563323108668
"11656","Total Phosphorus","Reference",5.18155535634861,3.71457402185511,7.49753843226143
"11664","Total Nitrogen","Current",191.337789523832,122.740104705252,279.022455662124
"11664","Total Nitrogen","Reference",143.800921218567,70.7639768637844,276.093564827249
"11664","Total Phosphorus","Current",17.7817786368394,9.32384906479257,33.3958045788956
"11664","Total Phosphorus","Reference",5.33209257218403,3.44757642195259,8.32626471448836
"11789","Total Nitrogen","Current",294.621698699421,196.757953046166,420.06043585555
"11789","Total Nitrogen","Reference",144.932594447489,74.8273121300388,267.73927200919
"11789","Total Phosphorus","Current",15.6160592697809,9.12894966022679,26.6377042165959
"11789","Total Phosphorus","Reference",5.04421684210919,3.9870897042061,6.58937626406545
"11793","Total Nitrogen","Current",363.880142793586,248.328090614493,523.415546045866
"11793","Total Nitrogen","Reference",113.367658598993,53.1826291897181,209.458146100528
"11793","Total Phosphorus","Current",20.8356953565455,11.0407550518212,39.1644804323786
"11793","Total Phosphorus","Reference",4.69152353771717,3.0131816751703,7.20588467310411
"11853","Total Nitrogen","Current",728.209937219399,489.77589270951,1139.29494632727
"11853","Total Nitrogen","Reference",139.08283203191,70.3525702118147,249.935555616628
"11853","Total Phosphorus","Current",8.00982826626347,4.26653070422423,16.9965580176723
"11853","Total Phosphorus","Reference",4.70188887513496,1.94002598015544,13.59354902186
"11911","Total Nitrogen","Current",2631.76813967702,1667.47602440212,4611.70867855531
"11911","Total Nitrogen","Reference",279.887449867804,126.452020821038,569.225884238844
"11911","Total Phosphorus","Current",170.049702337097,86.8457195710363,347.730268388928
"11911","Total Phosphorus","Reference",17.7249248022875,4.98825860845563,64.4147766292204
"11916","Total Nitrogen","Current",2268.69604507084,1429.776101131,3784.79864887265
"11916","Total Nitrogen","Reference",253.056541570382,118.970296717123,483.734808141778
"11916","Total Phosphorus","Current",94.2880642410466,47.1006740484051,192.585559196853
"11916","Total Phosphorus","Reference",17.6941850183047,5.54916697811183,61.8714346684723
"12101","Total Nitrogen","Current",2249.05737494774,1505.79686912378,3531.50239578428
"12101","Total Nitrogen","Reference",490.83543054249,237.047809975227,1042.77155809499
"12101","Total Phosphorus","Current",162.023710119229,80.4116109162105,306.380693041455
"12101","Total Phosphorus","Reference",18.1636997521912,5.00627057311996,64.3344888361142
"12107","Total Nitrogen","Current",2418.56868326663,1586.81628761665,3843.87333825752
"12107","Total Nitrogen","Reference",515.335948855219,243.377568709561,1056.19527725422
"12107","Total Phosphorus","Current",128.288815567038,63.6780372518875,252.099188364681
"12107","Total Phosphorus","Reference",18.9115187101156,6.76602115589701,51.7568150589668
"12216","Total Nitrogen","Current",1628.06499846936,952.850823077734,2914.34688457743
"12216","Total Nitrogen","Reference",317.687752543691,167.343863405798,636.130398156319
"12216","Total Phosphorus","Current",11.8496250983255,4.75806572081802,31.9854426367597
"12216","Total Phosphorus","Reference",5.61851749462313,2.32626408503436,16.1931965173264
"12307","Total Nitrogen","Current",322.505958285742,191.364736080121,559.931430365703
"12307","Total Nitrogen","Reference",95.9478101102562,48.5962538959577,183.551445281351
"12307","Total Phosphorus","Current",32.396666339212,15.0055091301685,69.0171895914837
"12307","Total Phosphorus","Reference",6.61120399553831,3.86395670046015,11.4230777377135
"12469","Total Nitrogen","Current",3028.76499938873,1874.33752820318,4900.42845299532
"12469","Total Nitrogen","Reference",519.989670071418,265.387806110567,1022.84776711126
"12469","Total Phosphorus","Current",130.255418692703,63.3197751785645,260.90271987775
"12469","Total Phosphorus","Reference",19.7382503182778,7.06538082297441,61.2928079177747
"12537","Total Nitrogen","Current",3247.93029149037,2077.55300640388,5418.59541478061
"12537","Total Nitrogen","Reference",523.402806141873,252.49083325941,1128.99014906203
"12537","Total Phosphorus","Current",126.021760847882,65.0044526455149,254.744717673226
"12537","Total Phosphorus","Reference",18.4244163274014,6.82498608332396,50.3201540237211
"12579","Total Nitrogen","Current",3329.4739837632,2088.01215648067,5599.16274597508
