LID,lat,MaxDepth,Catch_area,LakeAreaHa,LakeVolume,LakeElevat,SumWind,MeanWind,CatSlope,CatPhos,CatHard,lambda_dom_std,lambda_dom_median,lambda_dom_hidecile,purity_std,purity_median,chl_median,Name,TotalSUDensity,Prop_Dairy,PastureHeavy,Wetland,Forestry,PastureLight,Exotic,Native,Bare,Urban,Fetch_sqrt
27741,-41.8730954444298,19.2626999999999,453638.3721467,1.11499,71592.6,1604.52,4.86,5.0786,16.27,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.71962125,0.0,15.165750888103101
27754,-41.8596375216996,25.4679,243751.5091384,1.17189,99485.7,1603.92,4.94,5.15594,14.4,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.93515573,0.0,12.24744871391589
27757,-41.8549101266219,26.2887999999999,515836.3231359,1.57906,138372.0,1577.4,4.84,5.01815,18.01,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,1.442249976,0.0,0.0,14.04806948,0.0,14.142135623730951
27762,-41.8282582741385,40.4833,201929769.672178,964.365,130136000.0,595.53,3.55,3.00733,25.54,3.07,3.8,29.6766028978303,536.78782346063,566.078102748824,9.08521478171071,14.2654364080717,4.94553325566574,Lake Rotoiti,0.461593829070931,0.0577822835615378,0.270143893,0.35494338,0.010357943,2.406953106,0.007441959,50.674304789,19.968274492000003,0.191730598,80.21845174272562
27770,-41.8387526328019,26.0473,562113.7554121,3.06003,265685.0,1538.06,4.72,4.80143,14.81,3.0,4.0,25.6231560381229,527.177721457079,564.177891061733,12.4686969202701,15.440809245635,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33531979,0.0,15.165750888103101
27796,-41.8875384559692,27.4128,235688.5260005,1.53478,140242.0,1629.98,4.21,4.53117,24.0,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.728059525,0.0,14.832396974191326
27803,-41.8661004613211,26.0473,437730.4603287,1.68281,146109.0,1548.46,4.56,4.87597,25.63,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.012425548,0.0,14.142135623730951
27811,-41.7827749049141,18.5761,80956.5578743,1.17134,72529.9,614.11,3.46,2.75914,14.76,1.48,2.83,,,,,,, ,0.628127235276278,0.0,7.49592327,0.0,0.0,0.0,0.0,92.50407673,0.0,0.0,14.491376746189438
27816,-41.7847744536803,15.3391,1534629.0768675,1.37925,70521.4,552.65,2.99,2.33912,20.26,3.23,3.52,,,,,,, ,0.0,0.0,13.47842209,0.0,0.0,0.0,0.0,86.52157791,0.0,0.0,13.416407864998739
27837,-41.8643239389719,25.4679,712698.732094,1.83633,155891.0,1622.03,4.42,4.9978,30.39,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.95901025,0.0,14.832396974191326
27936,-41.8008621396168,12.1975,16269506.311182,51.1332,2078990.0,32.57,6.72,6.2304,4.12,3.02,3.41,40.4132209493886,530.134744215446,570.926080934061,6.93763083888676,10.2108039109112,46.6335150666667,Lake Elterwater,5.4045153643108,0.143070209887215,92.890266065,0.413994291,1.735188093,0.0,0.0,4.960551548,0.0,0.0,44.27188724235731
27994,-41.7733181652143,13.6692,1669756.8753676,1.45838,66449.6,52.33,6.54,6.01982,5.03,3.0,3.91,,,,,,, ,9.00518744160758,0.150621809453066,97.11769228600001,0.0,0.0,0.0,0.0,2.882307713,0.0,0.0,16.1245154965971
28066,-41.7298021471167,6.37539,69991746.692604,698.531,14844700.0,0.86,6.9,6.38634,5.77,2.93,3.4,25.7498786263851,495.099171456785,557.591263961076,8.12028958947982,17.9248270423539,,Lake Grassmere,6.31136954218671,0.0625403583117165,88.05932897,2.167860877,1.025924872,1.389397209,0.0,5.015273238,0.234492094,2.107722738,64.89992295835181
28123,-41.7610799195276,25.3002,43359.0833588,1.27794,107774.0,74.67,7.83,7.43973,5.73,3.0,2.0,,,,,,, ,1.56103764807643,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.360679774997898
28146,-41.7218601637361,2.9084,312539.4485376,3.90609,37868.3,4.61,7.16,6.68645,1.13,4.0,1.36,,,,,,41.4829017333333, ,1.16500367583214,0.0,63.34067845,0.0,0.0,0.0,0.0,0.0,36.65932155,0.0,18.708286933869708
28162,-41.6762246098022,26.4799,1680654.684594,19.7657,1744650.0,371.89,2.94,2.3835,8.67,2.99,3.92,15.4230310438917,575.186264059649,578.786777897342,11.2255213874782,37.6120318626841,2.2861265,Argyle Pond,0.17749007774255,0.0488231133056854,6.239530922,0.0,91.393881855,0.0,0.0,2.366587227,0.0,0.0,35.888716889852724
28197,-41.6631326501682,22.5293999999999,649068.8078959,5.4489,409202.0,157.41,4.48,4.14528,9.35,3.0,3.34,39.7755307171556,577.940008812165,582.249351197068,18.5500726842737,25.0134626177279,18.85507033333335,Lake Jasper,6.37591682744079,0.0440920213746848,87.00308476,0.0,5.119857892,0.0,0.0,7.877057348,0.0,0.0,20.248456731316587
28283,-47.1096542585902,22.7757,85883.5074646999,1.00092,56540.2,132.89,7.7,7.8684,3.21,1.0,5.0,,,,,,, ,0.0,0.0,0.0,69.67991088,0.0,0.0,0.0,0.0,0.0,0.0,14.491376746189438
28343,-46.8245504018064,7.22413,1692007.4199811,5.14496,123893.0,12.25,6.56,6.4045,1.42,1.27,2.32,6.72487240869002,579.979180711463,583.146790325552,13.2759271723985,29.1780281607578,7.20459133333333, ,0.0,0.0,0.0,33.75797463,0.0,0.0,0.0,65.751198598,0.0,0.0,19.493588689617926
28344,-46.821970446536,7.1014,1201039.3469316,2.91041,68893.2,14.58,6.55,6.39402,1.09,1.11,1.96,,,,,,5.44954733333334, ,0.0,0.0,0.0,40.10315413,0.0,0.0,0.0,59.22302948,0.0,0.0,17.60681686165901
